n,p,dataset,max_iters,val
50,1,1,1,9.16E-06
50,1,1,1,0.00013051
50,1,1,1,0.000220837
50,1,1,1,0.000302818
50,1,1,1,0.000338287
50,1,1,1,0.012937997
50,1,1,1,0.05797173
50,1,1,1,0.09969322
50,1,1,1,0.125521848
50,1,1,1,0.179537765
50,1,2,1,6.21E-05
50,1,2,1,6.96E-05
50,1,2,1,0.000190509
50,1,2,1,0.000297498
50,1,2,1,0.000425446
50,1,2,1,0.002276434
50,1,2,1,0.004027647
50,1,2,1,0.011290388
50,1,2,1,0.026847793
50,1,2,1,0.108843712
50,1,3,1,9.56E-05
50,1,3,1,0.000229519
50,1,3,1,0.000406952
50,1,3,1,0.00042589
50,1,3,1,0.000485225
50,1,3,1,0.000489234
50,1,3,1,0.002449931
50,1,3,1,0.017095657
50,1,3,1,0.061481629
50,1,3,1,0.146965969
50,1,4,1,5.67E-05
50,1,4,1,5.71E-05
50,1,4,1,6.91E-05
50,1,4,1,0.0001108
50,1,4,1,0.000136193
50,1,4,1,0.000293868
50,1,4,1,0.000424921
50,1,4,1,0.000432951
50,1,4,1,0.001121406
50,1,4,1,0.214170015
50,1,5,1,0.00010264
50,1,5,1,0.000240578
50,1,5,1,0.000260617
50,1,5,1,0.000263945
50,1,5,1,0.000497507
50,1,5,1,0.001046607
50,1,5,1,0.00114901
50,1,5,1,0.001198961
50,1,5,1,0.001220106
50,1,5,1,0.21583247
50,1,6,1,6.39E-05
50,1,6,1,6.71E-05
50,1,6,1,0.000117846
50,1,6,1,0.000157465
50,1,6,1,0.000244779
50,1,6,1,0.0003175
50,1,6,1,0.000618507
50,1,6,1,0.000644959
50,1,6,1,0.000821595
50,1,6,1,0.000933597
50,1,7,1,6.82E-05
50,1,7,1,9.35E-05
50,1,7,1,0.000172602
50,1,7,1,0.000308022
50,1,7,1,0.000310652
50,1,7,1,0.000407968
50,1,7,1,0.001337193
50,1,7,1,0.00204256
50,1,7,1,0.010771186
50,1,7,1,0.019513593
50,1,8,1,0.000223611
50,1,8,1,0.000462799
50,1,8,1,0.001137918
50,1,8,1,0.002961482
50,1,8,1,0.009164399
50,1,8,1,0.017394755
50,1,8,1,0.02499567
50,1,8,1,0.187898344
50,1,8,1,0.253681008
50,1,8,1,0.304162537
50,1,9,1,4.51E-05
50,1,9,1,7.23E-05
50,1,9,1,7.40E-05
50,1,9,1,0.000100406
50,1,9,1,0.000627482
50,1,9,1,0.00110296
50,1,9,1,0.00273293
50,1,9,1,0.006538267
50,1,9,1,0.079005545
50,1,9,1,0.188269309
50,1,10,1,0.000153513
50,1,10,1,0.00017357
50,1,10,1,0.000306919
50,1,10,1,0.000800914
50,1,10,1,0.011661314
50,1,10,1,0.01171176
50,1,10,1,0.019474581
50,1,10,1,0.05192757
50,1,10,1,0.063219015
50,1,10,1,0.102780456
50,2,1,1,0.012800951
50,2,1,1,0.019703769
50,2,1,1,0.034059443
50,2,1,1,0.052003793
50,2,1,1,0.056468679
50,2,1,1,0.056832237
50,2,1,1,0.098373106
50,2,1,1,0.386496444
50,2,1,1,0.544722215
50,2,1,1,0.773360593
50,2,2,1,0.010991958
50,2,2,1,0.012822879
50,2,2,1,0.019736376
50,2,2,1,0.030208118
50,2,2,1,0.05527735
50,2,2,1,0.063011175
50,2,2,1,0.069192529
50,2,2,1,0.102516666
50,2,2,1,0.184234022
50,2,2,1,0.316908363
50,2,3,1,0.002796106
50,2,3,1,0.004460818
50,2,3,1,0.005963779
50,2,3,1,0.007396327
50,2,3,1,0.008108152
50,2,3,1,0.012553989
50,2,3,1,0.085352847
50,2,3,1,0.129543271
50,2,3,1,0.153552882
50,2,3,1,0.191647203
50,2,4,1,0.009183627
50,2,4,1,0.01097687
50,2,4,1,0.011367479
50,2,4,1,0.045497367
50,2,4,1,0.111252277
50,2,4,1,0.113848927
50,2,4,1,0.121749425
50,2,4,1,0.222832508
50,2,4,1,0.267562205
50,2,4,1,0.347444181
50,2,5,1,0.006760894
50,2,5,1,0.007453243
50,2,5,1,0.009042345
50,2,5,1,0.012492168
50,2,5,1,0.018446703
50,2,5,1,0.022342706
50,2,5,1,0.135652888
50,2,5,1,0.191827056
50,2,5,1,0.216401985
50,2,5,1,0.287554083
50,2,6,1,0.007965146
50,2,6,1,0.010792839
50,2,6,1,0.0167826
50,2,6,1,0.021537311
50,2,6,1,0.034592204
50,2,6,1,0.054643189
50,2,6,1,0.085487185
50,2,6,1,0.099138184
50,2,6,1,0.132102491
50,2,6,1,0.369025836
50,2,7,1,0.002509881
50,2,7,1,0.010510913
50,2,7,1,0.012744105
50,2,7,1,0.013832232
50,2,7,1,0.01404595
50,2,7,1,0.018521503
50,2,7,1,0.163965358
50,2,7,1,0.261178879
50,2,7,1,0.30904064
50,2,7,1,0.363628064
50,2,8,1,0.003588486
50,2,8,1,0.006701991
50,2,8,1,0.009886979
50,2,8,1,0.035999539
50,2,8,1,0.052409632
50,2,8,1,0.052823543
50,2,8,1,0.083875165
50,2,8,1,0.156541487
50,2,8,1,0.304573062
50,2,8,1,0.322875138
50,2,9,1,0.003098268
50,2,9,1,0.004290718
50,2,9,1,0.005490794
50,2,9,1,0.007113525
50,2,9,1,0.009122182
50,2,9,1,0.024844942
50,2,9,1,0.047488822
50,2,9,1,0.057556997
50,2,9,1,0.204456626
50,2,9,1,0.271607134
50,2,10,1,0.002187837
50,2,10,1,0.006391543
50,2,10,1,0.00764111
50,2,10,1,0.009055339
50,2,10,1,0.020202018
50,2,10,1,0.040292337
50,2,10,1,0.056338494
50,2,10,1,0.160941754
50,2,10,1,0.195401433
50,2,10,1,0.221587195
50,5,1,1,0.204030367
50,5,1,1,0.403645202
50,5,1,1,0.457268252
50,5,1,1,0.469160958
50,5,1,1,0.495261484
50,5,1,1,0.669954822
50,5,1,1,0.798610439
50,5,1,1,0.862469034
50,5,1,1,0.977657575
50,5,1,1,1.622331737
50,5,2,1,0.235829903
50,5,2,1,0.314276583
50,5,2,1,0.445494073
50,5,2,1,0.56428676
50,5,2,1,0.569704852
50,5,2,1,0.588887714
