n,p,r,d,val
50,1,1,1,5.20E-05
50,1,1,2,0.000175719
50,1,1,3,1.46E-05
50,1,1,4,5.21E-05
50,1,1,5,3.01E-05
50,1,1,6,4.58E-05
50,1,1,7,0.00024753
50,1,1,8,3.36E-05
50,1,1,9,0.000124946
50,1,1,10,2.79E-05
50,1,1,11,0.000262089
50,1,1,12,0.000178583
50,1,1,13,0.00018734
50,1,1,14,8.87E-05
50,1,1,15,6.48E-05
50,1,1,16,9.65E-05
50,1,1,17,0.000160272
50,1,1,18,1.12E-05
50,1,1,19,1.93E-05
50,1,1,20,6.92E-05
50,1,1,21,3.43E-05
50,1,1,22,7.80E-05
50,1,1,23,0.000175444
50,1,1,24,1.70E-05
50,1,1,25,8.66E-05
50,1,5,1,4.72E-05
50,1,5,2,8.35E-06
50,1,5,3,1.85E-05
50,1,5,4,1.91E-05
50,1,5,5,1.67E-05
50,1,5,6,2.08E-05
50,1,5,7,9.35E-06
50,1,5,8,4.64E-05
50,1,5,9,1.35E-05
50,1,5,10,7.27E-06
50,1,5,11,8.52E-07
50,1,5,12,5.54E-05
50,1,5,13,1.21E-05
50,1,5,14,2.80E-07
50,1,5,15,4.63E-06
50,1,5,16,4.89E-06
50,1,5,17,4.15E-05
50,1,5,18,5.47E-06
50,1,5,19,2.36E-05
50,1,5,20,2.77E-05
50,1,5,21,2.72E-05
50,1,5,22,0.000159513
50,1,5,23,5.93E-06
50,1,5,24,3.43E-06
50,1,5,25,1.19E-05
50,1,30,1,4.73E-06
50,1,30,2,4.39E-06
50,1,30,3,6.47E-08
50,1,30,4,7.32E-06
50,1,30,5,4.09E-06
50,1,30,6,7.35E-07
50,1,30,7,6.95E-07
50,1,30,8,1.14E-06
50,1,30,9,8.81E-07
50,1,30,10,1.03E-06
50,1,30,11,7.60E-07
50,1,30,12,1.14E-06
50,1,30,13,5.26E-06
50,1,30,14,1.05E-05
50,1,30,15,3.12E-06
50,1,30,16,6.82E-06
50,1,30,17,2.47E-06
50,1,30,18,3.59E-07
50,1,30,19,1.55E-06
50,1,30,20,5.79E-06
50,1,30,21,8.37E-06
50,1,30,22,8.69E-06
50,1,30,23,2.85E-06
50,1,30,24,2.24E-06
50,1,30,25,2.21E-07
50,1,100,1,8.06E-07
50,1,100,2,3.26E-07
50,1,100,3,1.12E-06
50,1,100,4,1.70E-06
50,1,100,5,2.20E-06
50,1,100,6,1.93E-06
50,1,100,7,1.43E-06
50,1,100,8,7.63E-08
50,1,100,9,6.78E-07
50,1,100,10,4.78E-07
50,1,100,11,1.31E-06
50,1,100,12,8.23E-08
50,1,100,13,9.70E-07
50,1,100,14,2.01E-06
50,1,100,15,1.15E-06
50,1,100,16,1.59E-06
50,1,100,17,3.07E-07
50,1,100,18,3.97E-07
50,1,100,19,1.20E-06
50,1,100,20,1.82E-06
50,1,100,21,2.64E-06
50,1,100,22,5.87E-07
50,1,100,23,3.55E-06
50,1,100,24,6.68E-07
50,1,100,25,1.58E-06
50,1,500,1,9.03E-08
50,1,500,2,2.18E-07
50,1,500,3,2.99E-08
50,1,500,4,2.85E-07
50,1,500,5,1.29E-07
50,1,500,6,6.28E-07
50,1,500,7,1.11E-07
50,1,500,8,2.89E-07
50,1,500,9,2.09E-08
50,1,500,10,3.14E-07
50,1,500,11,9.75E-08
50,1,500,12,9.09E-08
50,1,500,13,2.35E-07
50,1,500,14,1.78E-08
50,1,500,15,8.71E-08
50,1,500,16,1.75E-07
50,1,500,17,6.04E-07
50,1,500,18,5.11E-07
50,1,500,19,2.76E-07
50,1,500,20,1.55E-07
50,1,500,21,1.12E-07
50,1,500,22,9.69E-08
50,1,500,23,1.76E-07
50,1,500,24,6.27E-08
50,1,500,25,1.21E-07
50,5,1,1,0.093255528
50,5,1,2,0.084007954
50,5,1,3,0.062380272
50,5,1,4,0.040807848
50,5,1,5,0.032263503
50,5,1,6,0.069974994
50,5,1,7,0.099292592
50,5,1,8,0.109059631
50,5,1,9,0.085456496
50,5,1,10,0.090630797
50,5,1,11,0.05817049
50,5,1,12,0.121534233
50,5,1,13,0.082477514
50,5,1,14,0.113175531
50,5,1,15,0.107909911
50,5,1,16,0.050002997
50,5,1,17,0.109017015
50,5,1,18,0.080027137
50,5,1,19,0.056781335
50,5,1,20,0.073436787
50,5,1,21,0.115151189
50,5,1,22,0.059333845
50,5,1,23,0.052076688
50,5,1,24,0.05894433
50,5,1,25,0.085478177
50,5,5,1,0.046785148
50,5,5,2,0.070460272
50,5,5,3,0.080384085
50,5,5,4,0.037126185
50,5,5,5,0.048300244
50,5,5,6,0.048500389
50,5,5,7,0.036648821
50,5,5,8,0.056436426
50,5,5,9,0.07811047
50,5,5,10,0.051435422
50,5,5,11,0.068644099
50,5,5,12,0.050527993
50,5,5,13,0.057431579
50,5,5,14,0.078237706
50,5,5,15,0.041724042
50,5,5,16,0.063263856
50,5,5,17,0.088546309
50,5,5,18,0.058660014
50,5,5,19,0.068713725
50,5,5,20,0.041301823
50,5,5,21,0.046474414
50,5,5,22,0.050053639
50,5,5,23,0.044726465
50,5,5,24,0.064901211
50,5,5,25,0.049690306
50,5,30,1,0.045651764
50,5,30,2,0.036612698
50,5,30,3,0.037604523
50,5,30,4,0.051240009
50,5,30,5,0.049273053
50,5,30,6,0.050986074
50,5,30,7,0.047562232
50,5,30,8,0.052829665
50,5,30,9,0.022105387
50,5,30,10,0.043772181
50,5,30,11,0.047973956
50,5,30,12,0.050289515
50,5,30,13,0.036760279
50,5,30,14,0.057481799
50,5,30,15,0.027120784
50,5,30,16,0.025504699
50,5,30,17,0.028190243
50,5,30,18,0.030943133
50,5,30,19,0.041592129
50,5,30,20,0.050034593
50,5,30,21,0.034641137
50,5,30,22,0.037623345
50,5,30,23,0.029770862
50,5,30,24,0.050532325
50,5,30,25,0.045646278
50,5,100,1,0.039896069
50,5,100,2,0.04045845
50,5,100,3,0.036824133
50,5,100,4,0.034142047
50,5,100,5,0.037610573
50,5,100,6,0.046875421
50,5,100,7,0.034125835
50,5,100,8,0.046934025
50,5,100,9,0.043934236
50,5,100,10,0.029081818
50,5,100,11,0.029766834
50,5,100,12,0.032316343
50,5,100,13,0.050441753
50,5,100,14,0.045308231
50,5,100,15,0.044611471
50,5,100,16,0.038982972
50,5,100,17,0.014022294
50,5,100,18,0.044740682
50,5,100,19,0.037035869
50,5,100,20,0.058420897
50,5,100,21,0.033248697
50,5,100,22,0.037188269
50,5,100,23,0.044691744
50,5,100,24,0.029843927
50,5,100,25,0.039475753
50,5,500,1,0.022931002
50,5,500,2,0.023415692
50,5,500,3,0.023026098
50,5,500,4,0.030402089
50,5,500,5,0.024411069
50,5,500,6,0.026808675
50,5,500,7,0.026752289
50,5,500,8,0.017814961
50,5,500,9,0.026400717
50,5,500,10,0.026895335
50,5,500,11,0.033136
50,5,500,12,0.021361567
50,5,500,13,0.022778667
50,5,500,14,0.025386096
50,5,500,15,0.026796745
50,5,500,16,0.025486649
50,5,500,17,0.022606018
50,5,500,18,0.02234874
50,5,500,19,0.030767205
50,5,500,20,0.027687992
50,5,500,21,0.025745557
50,5,500,22,0.025815735
50,5,500,23,0.026541957
50,5,500,24,0.028383134
50,5,500,25,0.031936035
50,10,1,1,0.349304987
50,10,1,2,0.39579432
50,10,1,3,0.407420692
50,10,1,4,0.441252256
50,10,1,5,0.44517956
50,10,1,6,0.212098523
50,10,1,7,0.302554469
50,10,1,8,0.404873663
50,10,1,9,0.370940087
50,10,1,10,0.4848696
50,10,1,11,0.32371008
50,10,1,12,0.377980497
50,10,1,13,0.391645728
50,10,1,14,0.33407154
50,10,1,15,0.436737993
50,10,1,16,0.375782926
50,10,1,17,0.447672322
50,10,1,18,0.288816164
50,10,1,19,0.335519588
50,10,1,20,0.338403551
50,10,1,21,0.353792426
50,10,1,22,0.444042654
50,10,1,23,0.429780268
50,10,1,24,0.279699757
50,10,1,25,0.474903602
50,10,5,1,0.357044918
50,10,5,2,0.322492978
50,10,5,3,0.292681383
50,10,5,4,0.341610623
50,10,5,5,0.333572196
50,10,5,6,0.198536212
50,10,5,7,0.221354911
50,10,5,8,0.286556676
50,10,5,9,0.309207578
50,10,5,10,0.336532515
50,10,5,11,0.27781117
50,10,5,12,0.226999471
50,10,5,13,0.321273738
50,10,5,14,0.28160168
50,10,5,15,0.34580933
50,10,5,16,0.371956262
50,10,5,17,0.317400593
50,10,5,18,0.333112921
50,10,5,19,0.312086255
50,10,5,20,0.316092213
50,10,5,21,0.307026571
50,10,5,22,0.286436363
50,10,5,23,0.27434544
