n,p,r,val
50,1,1,1.10E-06
50,1,1,3.59E-06
50,1,1,5.59E-06
50,1,1,5.82E-06
50,1,1,7.40E-06
50,1,1,1.08E-05
50,1,1,2.30E-05
50,1,1,2.31E-05
50,1,1,2.46E-05
50,1,1,2.87E-05
50,1,1,3.33E-05
50,1,1,3.52E-05
50,1,1,3.56E-05
50,1,1,3.92E-05
50,1,1,4.89E-05
50,1,1,0.000117716
50,1,1,0.000141683
50,1,1,0.000151591
50,1,1,0.000155226
50,1,1,0.000159453
50,1,1,0.000160114
50,1,1,0.000167264
50,1,1,0.000230959
50,1,1,0.000296994
50,1,1,0.000303069
50,1,1,0.000369802
50,1,1,0.000376329
50,1,1,0.000388527
50,1,1,0.00044888
50,1,1,0.000598035
50,5,1,0.02599984
50,5,1,0.057567619
50,5,1,0.058759618
50,5,1,0.059676991
50,5,1,0.065398145
50,5,1,0.065677481
50,5,1,0.06729402
50,5,1,0.067850675
50,5,1,0.07426979
50,5,1,0.075702908
50,5,1,0.076654305
50,5,1,0.076717178
50,5,1,0.081563434
50,5,1,0.08574616
50,5,1,0.085898889
50,5,1,0.090878535
50,5,1,0.091479861
50,5,1,0.094228665
50,5,1,0.094236992
50,5,1,0.100265677
50,5,1,0.10124543
50,5,1,0.102712054
50,5,1,0.103671504
50,5,1,0.104235417
50,5,1,0.104546936
50,5,1,0.106693704
50,5,1,0.107605113
50,5,1,0.111082974
50,5,1,0.111638916
50,5,1,0.114353161
50,10,1,0.297093792
50,10,1,0.298777494
50,10,1,0.304159396
50,10,1,0.305299229
50,10,1,0.315732034
50,10,1,0.330746792
50,10,1,0.331484813
50,10,1,0.334858681
50,10,1,0.336360463
50,10,1,0.337035487
50,10,1,0.337498765
50,10,1,0.342077309
50,10,1,0.352714858
50,10,1,0.369679184
50,10,1,0.378136322
50,10,1,0.381416765
50,10,1,0.388798589
50,10,1,0.389997026
50,10,1,0.393130938
50,10,1,0.393962956
50,10,1,0.424639014
50,10,1,0.433087014
50,10,1,0.435470734
50,10,1,0.444854513
50,10,1,0.447375911
50,10,1,0.455572945
50,10,1,0.480877822
50,10,1,0.482464169
50,10,1,0.484057256
50,10,1,0.484354918
50,20,1,0.940734604
50,20,1,1.020680186
50,20,1,1.096819313
50,20,1,1.116053852
50,20,1,1.132626226
50,20,1,1.165928381
50,20,1,1.167201268
50,20,1,1.168779082
50,20,1,1.172640354
50,20,1,1.179574668
50,20,1,1.19236191
50,20,1,1.213515744
50,20,1,1.215089958
50,20,1,1.250494265
50,20,1,1.259113039
50,20,1,1.298510111
50,20,1,1.30150572
50,20,1,1.316618292
50,20,1,1.320801614
50,20,1,1.349286438
50,20,1,1.353333781
50,20,1,1.360500419
50,20,1,1.402820651
50,20,1,1.406787084
50,20,1,1.425068864
50,20,1,1.474876165
50,20,1,1.494409828
50,20,1,1.518757294
50,20,1,1.53110322
50,20,1,1.679816423
50,40,1,3.116506805
50,40,1,3.152034328
50,40,1,3.213417915
50,40,1,3.271219884
50,40,1,3.327959872
50,40,1,3.33574744
50,40,1,3.343122653
50,40,1,3.424519036
50,40,1,3.494578087
50,40,1,3.516883376
50,40,1,3.566952457
50,40,1,3.580918917
50,40,1,3.659283859
50,40,1,3.681555483
50,40,1,3.761827724
50,40,1,3.769250725
50,40,1,3.777082263
50,40,1,3.789645475
50,40,1,3.812128806
50,40,1,3.840034698
50,40,1,4.008528058
50,40,1,4.060706647
50,40,1,4.06248854
50,40,1,4.086240533
50,40,1,4.186993071
50,40,1,4.381057654
50,40,1,4.480903455
50,40,1,4.572589043
50,40,1,4.59159528
50,40,1,4.625292207
100,1,1,9.47E-08
100,1,1,3.69E-07
100,1,1,6.68E-07
100,1,1,7.66E-07
100,1,1,9.08E-07
100,1,1,1.23E-06
100,1,1,1.53E-06
100,1,1,4.02E-06
100,1,1,4.06E-06
100,1,1,5.18E-06
100,1,1,6.38E-06
100,1,1,7.94E-06
100,1,1,1.11E-05
100,1,1,1.57E-05
100,1,1,1.64E-05
100,1,1,1.67E-05
100,1,1,1.81E-05
100,1,1,2.00E-05
100,1,1,2.53E-05
100,1,1,2.84E-05
100,1,1,2.87E-05
100,1,1,2.95E-05
100,1,1,3.02E-05
100,1,1,3.14E-05
100,1,1,3.20E-05
100,1,1,3.47E-05
100,1,1,3.67E-05
100,1,1,3.78E-05
100,1,1,4.73E-05
100,1,1,5.97E-05
100,5,1,0.012251456
100,5,1,0.013458481
100,5,1,0.014868814
100,5,1,0.015461529
100,5,1,0.021540947
100,5,1,0.022427807
100,5,1,0.022899044
100,5,1,0.024933649
100,5,1,0.025779555
100,5,1,0.026545097
100,5,1,0.026664635
100,5,1,0.026765812
100,5,1,0.027661613
100,5,1,0.027671408
100,5,1,0.028021066
100,5,1,0.028762667
100,5,1,0.029733674
100,5,1,0.029986167
100,5,1,0.030055244
100,5,1,0.031082138
100,5,1,0.031749305
100,5,1,0.032190225
100,5,1,0.032720433
100,5,1,0.032738209
100,5,1,0.03437127
100,5,1,0.035270969
100,5,1,0.035628406
100,5,1,0.036837097
100,5,1,0.040422976
100,5,1,0.048188545
100,10,1,0.108368248
100,10,1,0.109711198
100,10,1,0.114066009
100,10,1,0.119215158
100,10,1,0.122468884
100,10,1,0.124260317
100,10,1,0.124502838
100,10,1,0.129619778
100,10,1,0.134804566
100,10,1,0.137323143
100,10,1,0.139055182
100,10,1,0.141451079
100,10,1,0.144877544
100,10,1,0.151083724
100,10,1,0.152241447
100,10,1,0.152723146
100,10,1,0.154033547
100,10,1,0.154742114
100,10,1,0.155423967
100,10,1,0.156437262
100,10,1,0.156613597
