"","n","p","r","val"
"1",50,10,1,0.236243326622936
"2",50,10,1,0.306894094511562
"3",50,10,1,0.310628355774105
"4",50,10,1,0.327507173815738
"5",50,10,1,0.332358291606755
"6",50,10,1,0.336635508055917
"7",50,10,1,0.33879578384496
"8",50,10,1,0.349101024807873
"9",50,10,1,0.351873144446638
"10",50,10,1,0.355318699738912
"11",50,10,1,0.359027471842368
"12",50,10,1,0.365634221523118
"13",50,10,1,0.372224191617676
"14",50,10,1,0.373338919521283
"15",50,10,1,0.378334083264212
"16",50,10,1,0.378883889567709
"17",50,10,1,0.379634642354796
"18",50,10,1,0.389917612311778
"19",50,10,1,0.393188161954069
"20",50,10,1,0.402653657107296
"21",50,10,1,0.40528241631047
"22",50,10,1,0.412337326530475
"23",50,10,1,0.4150143003983
"24",50,10,1,0.416776880274781
"25",50,10,1,0.427409452932231
"26",50,10,1,0.431704577077407
"27",50,10,1,0.451458285812588
"28",50,10,1,0.463155327302537
"29",50,10,1,0.470263472487808
"30",50,10,1,0.499046923609977
"31",100,10,1,0.114856493809585
"32",100,10,1,0.12737190332974
"33",100,10,1,0.131968764505845
"34",100,10,1,0.133089691603426
"35",100,10,1,0.134328528904269
"36",100,10,1,0.134677140671003
"37",100,10,1,0.138985645089282
"38",100,10,1,0.141135663936254
"39",100,10,1,0.145987208426112
"40",100,10,1,0.148264200771169
"41",100,10,1,0.150535574755531
"42",100,10,1,0.15610522594838
"43",100,10,1,0.157117942916011
"44",100,10,1,0.161654826363884
"45",100,10,1,0.162044227520244
"46",100,10,1,0.162585878374426
"47",100,10,1,0.163142660001111
"48",100,10,1,0.163583608895825
"49",100,10,1,0.16499413084895
"50",100,10,1,0.165760422327351
"51",100,10,1,0.167478899688681
"52",100,10,1,0.170324709310284
"53",100,10,1,0.171453032297224
"54",100,10,1,0.173239139242734
"55",100,10,1,0.17369540833719
"56",100,10,1,0.174057686011138
"57",100,10,1,0.176117428641568
"58",100,10,1,0.177961115354568
"59",100,10,1,0.184948907497975
"60",100,10,1,0.191423618807906
